0000000001 | 2 
0000000011 | 2 
0000000101 | 2 
0000000110 | 2 
0000000111 | 1 
0000001011 | 2 
0000001110 | 1 
0000001111 | 1 
0000010011 | 8 
0000010100 | 1 
0000010110 | 2 
0000010111 | 1 
0000011011 | 1 
0000011100 | 1 
0000011101 | 1 
0000011111 | 2 
0000100000 | 1 
0000100001 | 8 
0000100011 | 1 
0000100101 | 1 
0000101110 | 2 
0000101111 | 1 
0000110000 | 1 
0000110001 | 1 
0000110010 | 1 
0000110011 | 1 
0000110100 | 2 
0000110101 | 4 
0000110110 | 1 
0000110111 | 2 
0000111000 | 1 
0000111001 | 1 
0000111101 | 2 
0000111110 | 2 
0000111111 | 6 
0001000001 | 6 
0001000011 | 1 
0001000100 | 1 
0001000101 | 1 
0001000110 | 1 
0001001000 | 4 
0001001001 | 4 
0001001010 | 3 
0001001011 | 2 
0001001100 | 3 
0001001101 | 1 
0001001111 | 3 
0001010010 | 2 
0001010110 | 3 
0001011001 | 1 
0001011011 | 2 
0001011110 | 1 
0001100001 | 1 
0001100101 | 4 
0001100111 | 3 
0001101011 | 1 
0001101101 | 2 
0001101111 | 2 
0001110000 | 1 
0001110001 | 6 
0001110100 | 1 
0001110101 | 1 
0001110111 | 1 
0001111001 | 5 
0001111010 | 2 
0010000000 | 2 
0010000001 | 1 
0010000010 | 3 
0010000101 | 2 
0010001001 | 1 
0010001010 | 4 
0010001101 | 3 
0010001110 | 1 
0010010000 | 2 
0010010001 | 1 
0010010010 | 1 
0010010101 | 2 
0010010110 | 2 
0010011000 | 1 
0010011001 | 1 
0010011010 | 1 
0010011011 | 1 
0010011101 | 1 
0010100000 | 2 
0010100001 | 6 
0010100111 | 2 
0010101010 | 1 
0010101011 | 7 
0010101110 | 2 
0010110000 | 2 
0010110001 | 1 
0010110010 | 1 
0010110110 | 1 
0010111000 | 2 
0010111011 | 1 
0010111111 | 1 
0011000000 | 1 
0011000010 | 1 
0011000110 | 1 
0011000111 | 2 
0011001000 | 2 
0011010010 | 3 
0011010101 | 2 
0011011000 | 4 
0011011010 | 1 
0011011011 | 2 
0011011101 | 1 
0011100000 | 1 
0011100001 | 2 
0011100011 | 2 
